t, Obs_Pond water depth (m)_expression
40186.62000,1.14323e-05
40186.63000,1.10958e-05
40186.64000,1.07593e-05
40186.65000,1.04228e-05
40186.66000,1.00863e-05
40186.67000,9.74977e-06
40186.68000,9.41326e-06
40186.69000,9.07675e-06
40186.70000,8.74023e-06
40186.71000,8.40372e-06
40186.72000,8.06721e-06
40186.73000,7.7307e-06
40186.74000,7.61276e-06
40186.75000,7.49483e-06
40186.76000,7.37689e-06
40186.77000,7.25896e-06
40186.78000,7.14102e-06
40186.79000,7.02309e-06
40186.80000,6.90515e-06
40186.81000,6.78721e-06
40186.82000,6.66928e-06
40186.83000,6.55134e-06
40186.84000,6.43341e-06
40186.85000,6.31547e-06
40186.86000,6.19754e-06
40186.87000,6.0796e-06
40186.88000,5.96167e-06
40186.89000,5.84373e-06
40186.90000,5.72579e-06
40186.91000,5.60786e-06
40186.92000,5.48992e-06
40186.93000,5.37199e-06
40186.94000,5.25405e-06
40186.95000,5.13612e-06
40186.96000,5.01818e-06
40186.97000,4.90025e-06
40186.98000,4.78231e-06
40186.99000,4.66437e-06
40187.00000,4.54644e-06
40187.01000,4.4285e-06
40187.02000,4.31057e-06
40187.03000,4.19263e-06
40187.04000,4.0747e-06
40187.05000,3.95676e-06
40187.06000,3.83883e-06
40187.07000,3.72089e-06
40187.08000,3.60295e-06
40187.09000,3.48502e-06
40187.10000,3.36708e-06
40187.11000,3.29815e-06
40187.12000,3.27822e-06
40187.13000,3.2583e-06
40187.14000,3.23837e-06
40187.15000,3.21844e-06
40187.16000,3.19851e-06
40187.17000,3.17858e-06
40187.18000,3.15866e-06
40187.19000,3.13873e-06
40187.20000,3.1188e-06
40187.21000,3.09887e-06
40187.22000,3.07894e-06
40187.23000,3.05902e-06
40187.24000,3.03909e-06
40187.25000,3.01916e-06
40187.26000,2.99923e-06
40187.27000,2.9793e-06
40187.28000,2.95938e-06
40187.29000,2.93945e-06
40187.30000,2.91952e-06
40187.31000,2.89959e-06
40187.32000,2.87966e-06
40187.33000,2.85974e-06
40187.34000,2.83981e-06
40187.35000,2.81988e-06
40187.36000,2.79995e-06
40187.37000,2.78003e-06
40187.38000,2.7601e-06
40187.39000,2.74017e-06
40187.40000,2.72024e-06
40187.41000,2.70031e-06
40187.42000,2.68039e-06
40187.43000,2.66046e-06
40187.44000,2.64053e-06
40187.45000,2.6206e-06
40187.46000,2.60067e-06
40187.47000,2.58075e-06
40187.48000,2.56082e-06
40187.49000,2.54089e-06
40187.50000,2.52096e-06
40187.51000,2.50103e-06
40187.52000,2.48111e-06
40187.53000,2.46118e-06
40187.54000,2.44125e-06
40187.55000,2.42132e-06
40187.56000,2.40139e-06
40187.57000,2.38147e-06
40187.58000,2.36154e-06
40187.59000,2.34161e-06
40187.60000,2.32168e-06
40187.61000,2.30833e-06
40187.62000,2.30156e-06
40187.63000,2.29478e-06
40187.64000,2.28801e-06
40187.65000,2.28123e-06
40187.66000,2.27446e-06
40187.67000,2.26768e-06
40187.68000,2.26091e-06
40187.69000,2.25413e-06
40187.70000,2.24736e-06
40187.71000,2.24058e-06
40187.72000,2.23381e-06
40187.73000,2.22703e-06
40187.74000,2.22026e-06
40187.75000,2.21349e-06
40187.76000,2.20671e-06
40187.77000,2.19994e-06
40187.78000,2.19316e-06
40187.79000,2.18639e-06
40187.80000,2.17961e-06
40187.81000,2.17284e-06
40187.82000,2.16606e-06
40187.83000,2.15929e-06
40187.84000,2.15251e-06
40187.85000,2.14574e-06
40187.86000,2.13896e-06
40187.87000,2.13219e-06
40187.88000,2.12541e-06
40187.89000,2.11864e-06
40187.90000,2.11187e-06
40187.91000,2.10509e-06
40187.92000,2.09832e-06
40187.93000,2.09154e-06
40187.94000,2.08477e-06
40187.95000,2.07799e-06
40187.96000,2.07122e-06
40187.97000,2.06444e-06
40187.98000,2.05767e-06
40187.99000,2.05089e-06
40188.00000,2.04412e-06
40188.01000,2.03734e-06
40188.02000,2.03057e-06
40188.03000,2.02379e-06
40188.04000,2.01702e-06
40188.05000,2.01024e-06
40188.06000,2.00347e-06
40188.07000,1.9967e-06
40188.08000,1.98992e-06
40188.09000,1.98315e-06
40188.10000,1.97637e-06
40188.11000,1.96818e-06
40188.12000,1.95857e-06
40188.13000,1.94896e-06
40188.14000,1.93935e-06
40188.15000,1.92974e-06
40188.16000,1.92013e-06
40188.17000,1.91052e-06
40188.18000,1.90092e-06
40188.19000,1.89131e-06
40188.20000,1.8817e-06
40188.21000,1.87209e-06
40188.22000,1.86248e-06
40188.23000,1.85287e-06
40188.24000,1.84326e-06
40188.25000,1.83365e-06
40188.26000,1.82404e-06
40188.27000,1.81443e-06
40188.28000,1.80482e-06
40188.29000,1.79522e-06
40188.30000,1.78561e-06
40188.31000,1.776e-06
40188.32000,1.76639e-06
40188.33000,1.75678e-06
40188.34000,1.74717e-06
40188.35000,1.73756e-06
40188.36000,1.72795e-06
40188.37000,1.71834e-06
40188.38000,1.70873e-06
40188.39000,1.69912e-06
40188.40000,1.68951e-06
40188.41000,1.67991e-06
40188.42000,1.6703e-06
40188.43000,1.66069e-06
40188.44000,1.65108e-06
40188.45000,1.64147e-06
40188.46000,1.63186e-06
40188.47000,1.62225e-06
40188.48000,1.61264e-06
40188.49000,1.60303e-06
40188.50000,1.59342e-06
40188.51000,1.58381e-06
40188.52000,1.5742e-06
40188.53000,1.5646e-06
40188.54000,1.55499e-06
40188.55000,1.54538e-06
40188.56000,1.53577e-06
40188.57000,1.52616e-06
40188.58000,1.51655e-06
40188.59000,1.50694e-06
40188.60000,1.49733e-06
40188.61000,1.4914e-06
40188.62000,1.48914e-06
40188.63000,1.48688e-06
40188.64000,1.48462e-06
40188.65000,1.48237e-06
